stop_id,stop_code,stop_name,stop_lat,stop_lon
1,,Dilshad Garden,28.675991,77.321494
2,,Jhilmil,28.675648,77.312394
3,,Mansrover park,28.675352,77.301176
4,,Shahdara,28.6735307,77.287269
5,,Welcome,28.671985,77.277934
6,,Seelam Pur,28.670324,77.267312
7,,Shastri Park,28.668451,77.250406
8,,Kashmere Gate,28.66788,77.228009
9,,Tis Hazari,28.667138,77.216722
10,,Pul Bangash,28.6657108,77.206331
11,,Pratap Nagar,28.6666314,77.196870
12,,Shastri Nagar,28.670136,77.181682
13,,Inderlok,28.673453,77.170233
14,,Kanhaiya Nagar,28.6823863,77.162553
15,,Keshav Puram,28.688944,77.161771
16,,Netaji Subash Place,28.695636,77.152427
17,,Kohat Enclave,28.697943,77.140461
18,,Pitampura,28.70318,77.132356
19,,Rohini East,28.707942,77.125733
20,,Rohini West,28.715007,77.115746
21,,Rithala,28.7208213,77.105045
22,,Mundka,28.6824104,77.028280
23,,Rajdhani Park,28.682216,77.043871
24,,Nangloi Railway Station,28.68209,77.056192
25,,Nangloi,28.682355,77.064728
26,,Maharaja Surajmal Stadium,28.681834,77.073893
27,,Udyog Nagar,28.681048,77.078675
28,,Peera Garhi,28.679719,77.092494
29,,Paschim Vihar (West),28.678539,77.102120
30,,Paschim Vihar (East),28.677306,77.112255
31,,Madipur,28.6764174,77.117294
32,,Shivaji Park,28.6749653,77.128261
33,,Punjabi Bagh,28.672944,77.146012
34,,Ashok Park Main,28.671572,77.155157
35,,Satguru Ram Singh Marg,28.662188,77.157827
36,,Samaypur Badli,28.742872,77.146542
37,,Rohini Sector 18-19,28.7401922,77.135573
38,,Haiderpur Badli Mor,28.7186573,77.149954
39,,Jahangirpuri,28.72818,77.161236
40,,Adarsh Nagar,28.6963775,77.208809
41,,Azadpur,28.707286,77.179866
42,,Model Town,28.702833,77.193760
43,,Guru Tegh Bahadur Nagar,28.698194,77.206982
44,,Vishwavidyalaya,28.694766,77.212414
45,,Vidhan Sabha,28.687846,77.221630
46,,Civil Lines,28.676944,77.224954
47,,Chandni Chowk,28.656442,77.229218
48,,Chawri Bazar,28.649635,77.226281
49,,New Delhi,28.642945,77.222354
50,,Rajiv Chowk,28.632897,77.219573
51,,Patel Chowk,28.622966,77.212289
52,,Central Secretariat,28.614973,77.212025
53,,Udyog Bhawan,28.611525,77.210055
54,,Lok Kalyan Marg,28.597518,77.209119
55,,Jorbagh,28.587234,77.212660
56,,Dilli Haat - INA,28.575196,77.209473
57,,AIIMS,28.568199,77.207950
58,,Green Park,28.559853,77.206898
59,,Hauz Khas,28.543347,77.206672
60,,Malviya Nagar,28.52817,77.205614
61,,Saket,28.520638,77.199379
62,,Qutab Minar,28.512715,77.185789
63,,Chhattarpur,28.506585,77.174862
64,,Sultanpur,28.499214,77.161365
65,,Ghitorni,28.49383,77.149067
66,,Arjan Garh,28.480819,77.125866
67,,Gurudronacharya,28.482074,77.102220
68,,Sikanderpur,28.481352,77.092996
69,,MG Road,28.479669,77.080443
70,,IFFCO Chowk,28.472138,77.072501
71,,Huda City Centre,28.459117,77.072585
72,,Vaishali,28.650059,77.337608
73,,Kaushambi,28.645428,77.322275
74,,Anand Vihar,28.647006,77.316187
75,,Karkarduma,28.648653,77.304582
76,,Preet Vihar,28.641351,77.295162
77,,Nirman Vihar,28.637049,77.287876
78,,Laxmi Nagar,28.629842,77.276427
79,,Noida City Centre,28.574592,77.356114
80,,Golf Course,28.566918,77.345726
