stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1,,Dilshad Garden,,28.675991,77.321495,,,0,,,0,
2,,Jhilmil,,28.675648,77.312393,,,0,,,0,
3,,Mansrover park,,28.675352,77.301178,,,0,,,0,
4,,Shahdara,,28.673531,77.28727,,,0,,,0,
5,,Welcome,,28.671986,77.277931,,,0,,,0,
6,,Seelam Pur,,28.670324,77.267311,,,0,,,0,
7,,Shastri Park,,28.668451,77.250404,,,0,,,0,
8,,Kashmere Gate,,28.667879,77.228012,,,0,,,0,
9,,Tis Hazari,,28.667137,77.216721,,,0,,,0,
10,,Pul Bangash,,28.66571,77.206329,,,0,,,0,
11,,Pratap Nagar,,28.666632,77.196869,,,0,,,0,
12,,Shastri Nagar,,28.670135,77.181679,,,0,,,0,
13,,Inderlok,,28.673452,77.170235,,,0,,,0,
14,,Kanhaiya Nagar,,28.682386,77.162552,,,0,,,0,
15,,Keshav Puram,,28.688944,77.161774,,,0,,,0,
16,,Netaji Subash Place,,28.695637,77.152428,,,0,,,0,
17,,Kohat Enclave,,28.697943,77.140465,,,0,,,0,
18,,Pitampura,,28.70318,77.132355,,,0,,,0,
19,,Rohini East,,28.707941,77.125732,,,0,,,0,
20,,Rohini West,,28.715008,77.115746,,,0,,,0,
21,,Rithala,,28.720821,77.105042,,,0,,,0,
22,,Mundka,,28.682411,77.028282,,,0,,,0,
23,,Rajdhani Park,,28.682217,77.043869,,,0,,,0,
24,,Nangloi Railway Station,,28.682091,77.05619,,,0,,,0,
25,,Nangloi,,28.682356,77.064728,,,0,,,0,
26,,Maharaja Surajmal Stadium,,28.681833,77.073891,,,0,,,0,
27,,Udyog Nagar,,28.681047,77.078674,,,0,,,0,
28,,Peera Garhi,,28.67972,77.092491,,,0,,,0,
29,,Paschim Vihar (West),,28.678539,77.102119,,,0,,,0,
30,,Paschim Vihar (East),,28.677305,77.112251,,,0,,,0,
31,,Madipur,,28.676418,77.117294,,,0,,,0,
32,,Shivaji Park,,28.674965,77.128258,,,0,,,0,
33,,Punjabi Bagh,,28.672943,77.146011,,,0,,,0,
34,,Ashok Park Main,,28.671572,77.155159,,,0,,,0,
35,,Satguru Ram Singh Marg,,28.662188,77.157829,,,0,,,0,
36,,Samaypur Badli,,28.742872,77.146545,,,0,,,0,
37,,Rohini Sector 18-19,,28.740192,77.135574,,,0,,,0,
38,,Haiderpur Badli Mor,,28.718657,77.149956,,,0,,,0,
39,,Jahangirpuri,,28.72818,77.16124,,,0,,,0,
40,,Adarsh Nagar,,28.696377,77.208809,,,0,,,0,
41,,Azadpur,,28.707287,77.179863,,,0,,,0,
42,,Model Town,,28.702833,77.193764,,,0,,,0,
43,,Guru Tegh Bahadur Nagar,,28.698195,77.206985,,,0,,,0,
44,,Vishwavidyalaya,,28.694765,77.212418,,,0,,,0,
45,,Vidhan Sabha,,28.687845,77.221626,,,0,,,0,
46,,Civil Lines,,28.676945,77.224953,,,0,,,0,
47,,Chandni Chowk,,28.656443,77.229218,,,0,,,0,
48,,Chawri Bazar,,28.649635,77.22628,,,0,,,0,
49,,New Delhi,,28.642944,77.222351,,,0,,,0,
50,,Rajiv Chowk,,28.632896,77.219574,,,0,,,0,
51,,Patel Chowk,,28.622967,77.212288,,,0,,,0,
52,,Central Secretariat,,28.614973,77.212029,,,0,,,0,
53,,Udyog Bhawan,,28.611525,77.210052,,,0,,,0,
54,,Lok Kalyan Marg,,28.597519,77.209122,,,0,,,0,
55,,Jorbagh,,28.587234,77.212662,,,0,,,0,
56,,Dilli Haat - INA,,28.575195,77.209473,,,0,,,0,
57,,AIIMS,,28.568199,77.207947,,,0,,,0,
58,,Green Park,,28.559853,77.206902,,,0,,,0,
59,,Hauz Khas,,28.543346,77.206673,,,0,,,0,
60,,Malviya Nagar,,28.52817,77.205612,,,0,,,0,
61,,Saket,,28.520638,77.199379,,,0,,,0,
62,,Qutab Minar,,28.512714,77.185791,,,0,,,0,
63,,Chhattarpur,,28.506584,77.174866,,,0,,,0,
64,,Sultanpur,,28.499214,77.161362,,,0,,,0,
65,,Ghitorni,,28.49383,77.149071,,,0,,,0,
66,,Arjan Garh,,28.48082,77.12587,,,0,,,0,
67,,Gurudronacharya,,28.482075,77.102219,,,0,,,0,
68,,Sikanderpur,,28.481352,77.092995,,,0,,,0,
69,,MG Road,,28.47967,77.080444,,,0,,,0,
70,,IFFCO Chowk,,28.472137,77.072502,,,0,,,0,
71,,Huda City Centre,,28.459118,77.072586,,,0,,,0,
72,,Vaishali,,28.650059,77.337608,,,0,,,0,
73,,Kaushambi,,28.645428,77.322273,,,0,,,0,
74,,Anand Vihar,,28.647005,77.316185,,,0,,,0,
75,,Karkarduma,,28.648653,77.304581,,,0,,,0,
76,,Preet Vihar,,28.641352,77.295158,,,0,,,0,
77,,Nirman Vihar,,28.637049,77.287872,,,0,,,0,
78,,Laxmi Nagar,,28.629843,77.276428,,,0,,,0,
79,,Noida City Centre,,28.574593,77.356117,,,0,,,0,
80,,Golf Course,,28.566917,77.345726,,,0,,,0,
81,,Botanical Garden,,28.564198,77.334656,,,0,,,0,
82,,Noida Sec -18,,28.570843,77.326088,,,0,,,0,
83,,Noida Sec -16,,28.577921,77.318115,,,0,,,0,
84,,Noida Sec -15,,28.585018,77.311584,,,0,,,0,
85,,New Ashok Nagar,,28.58847,77.30146,,,0,,,0,
86,,Mayur Vihar Ext,,28.594124,77.294495,,,0,,,0,
87,,Mayur Vihar-I,,28.604425,77.289421,,,0,,,0,
88,,Akshardham,,28.618364,77.279816,,,0,,,0,
89,,Yamuna Bank,,28.623178,77.267937,,,0,,,0,
90,,Indraprastha,,28.620272,77.250076,,,0,,,0,
91,,Supreme Court,,28.623438,77.2425,,,0,,,0,
92,,Mandi House,,28.625816,77.234726,,,0,,,0,
93,,Barakhamba,,28.629662,77.224876,,,0,,,0,
94,,RK Ashram Marg,,28.639217,77.206291,,,0,,,0,
95,,Jhandewalan,,28.644312,77.199791,,,0,,,0,
96,,Karol Bagh,,28.643925,77.188416,,,0,,,0,
97,,Rajendra Place,,28.64241,77.191833,,,0,,,0,
98,,Patel Nagar,,28.645037,77.167046,,,0,,,0,
99,,Shadipur,,28.65143,77.156021,,,0,,,0,
100,,Kirti Nagar,,28.655773,77.148499,,,0,,,0,
101,,Moti Nagar,,28.657803,77.140488,,,0,,,0,
102,,Ramesh Nagar,,28.652809,77.131462,,,0,,,0,
103,,Rajouri Garden,,28.649157,77.122749,,,0,,,0,
104,,Tagore Garden,,28.643795,77.112747,,,0,,,0,
105,,Subash Nagar,,28.640381,77.10273,,,0,,,0,
106,,Tilak Nagar,,28.636568,77.096336,,,0,,,0,
107,,Janak Puri East,,28.633121,77.086578,,,0,,,0,
108,,Janak Puri West,,28.629637,77.077866,,,0,,,0,
109,,Uttam Nagar East,,28.624643,77.063126,,,0,,,0,
110,,Uttam Nagar West,,28.621672,77.055664,,,0,,,0,
111,,Nawada,,28.620222,77.044991,,,0,,,0,
112,,Dwarka Mor,,28.619366,77.033188,,,0,,,0,
113,,Dwarka,,28.614899,77.022629,,,0,,,0,
114,,Dwarka Sector - 14,,28.602232,77.02594,,,0,,,0,
115,,Dwarka Sector - 13,,28.59705,77.033043,,,0,,,0,
116,,Dwarka Sector - 12,,28.592234,77.040558,,,0,,,0,
117,,Dwarka Sector - 11,,28.58642,77.049255,,,0,,,0,
118,,Dwarka Sector - 10,,28.581108,77.05719,,,0,,,0,
119,,Dwarka Sector - 9,,28.574284,77.065086,,,0,,,0,
120,,Dwarka Sector - 8,,28.565706,77.064896,,,0,,,0,
121,,Dwarka Sector - 21,,28.552322,77.056198,,,0,,,0,
122,,ITO,,28.627205,77.240952,,,0,,,0,
123,,Janpath,,28.627817,77.218956,,,0,,,0,
124,,Khan Market,,28.602682,77.228096,,,0,,,0,
125,,Jawahar Lal Nehru Stadium,,28.590475,77.23307,,,0,,,0,
126,,Jangpura,,28.583231,77.239662,,,0,,,0,
127,,Lajpat Nagar,,28.570705,77.233124,,,0,,,0,
128,,Moolchand,,28.564629,77.234222,,,0,,,0,
129,,Kailash Colony,,28.554617,77.239738,,,0,,,0,
130,,Nehru Place,,28.551134,77.251511,,,0,,,0,
131,,Kalkaji Mandir,,28.549532,77.258789,,,0,,,0,
132,,Govind Puri,,28.544413,77.264259,,,0,,,0,
133,,Harkesh Nagar Okhla,,28.543194,77.275955,,,0,,,0,
134,,Jasola-Apollo,,28.538084,77.285538,,,0,,,0,
135,,Sarita Vihar,,28.528622,77.288345,,,0,,,0,
136,,Mohan Estate,,28.51959,77.294518,,,0,,,0,
137,,Tughlakabad Station,,28.502232,77.29866,,,0,,,0,
138,,Badarpur Border,,28.4932,77.30085,,,0,,,0,
